City,Cement,Steel,Total
zhengzhou,3083890.992376175,19122.31516747542,3103014.984939717
xian,3284528.9431161135,20366.413009484197,3304897.1426530536
haerbin,751192.5658684009,4657.927608826422,755850.9020673684
urumqi,659404.3913249685,4088.775713832121,663493.5257033369
beijing,15309365.449289199,94928.94264391596,15404302.719033346
changsha,1959644.4558116456,12151.187896350642,1971796.7096016712
hohhot,552388.3835830268,3425.200434075028,555813.8844732803
ningbo,1915665.3393410826,11878.486128351626,1927544.8674419012
shanghai,16689158.209274583,103484.63805839994,16792651.924932808
guiyang,663093.6106484176,4111.6514947204,667205.6228143218
changchun,2428374.451594306,15057.646889215113,2443433.41932974
foshan,734643.8046344118,4555.313531762756,739199.517755081
nanning,1528806.5747456453,9479.686935973506,1538287.0932331043
hangzhou,5156931.201974254,31976.637301682786,5188910.644244121
dalian,4947934.142546821,30680.707046908246,4978617.540883821
tianjin,5087076.987129692,31543.491540261097,5118623.245642895
nanjing,7515318.691466104,46600.31530216419,7561923.094515223
suzhou,3353791.4065741994,20795.889491887607,3374589.12026692
fuzhou,1057811.6024444154,6559.183479494051,1064371.3612908812
chongqing,6357451.990848946,39420.719127765624,6396876.1679345295
wenzhou,1023370.8905629228,6345.626596705964,1029717.0737935408
shenyang,2720798.6351283737,16870.88458599295,2737670.999616523
chengdu,7350132.481346235,45576.04343942916,7395712.522684211
wuxi,1210487.2497703717,7505.880964516291,1217993.789145499
qingdao,3693758.0095996326,22903.923967016468,3716663.9426827864
jinan,994943.3796412386,6169.355832072859,1001113.2766448755
nanchang,1194904.4532764035,7409.256555130571,1202314.3597663194
hefei,1864045.754892467,11558.408030558694,1875605.1768184667
shenzhen,5652553.508631899,35049.84772817588,5687606.430908121
lanzhou,563933.7679457101,3496.790019783037,567430.8647014596
guangzhou,9587685.694575218,59450.463077846376,9647141.372605965
shijiazhuang,998022.2779565317,6188.447189095266,1004211.2679918715
wuhan,6800897.887969353,42170.39874530833,6843071.985872447
kunming,2078968.8941753225,12891.084190744012,2091861.1091629255
xiamen,1357556.4915835224,8417.814752171284,1365975.0447404962
