City,Cement,Steel,Gravel,Sand,Asphalt,Copper,Total
zhengzhou,20634360.6,1595260.6600000001,66532.19999999998,427868.0,297669.12,444.92,21426916
xian,22529352.900000002,1741764.1900000002,72642.29999999997,467162.0,325006.08,485.78000000000003,23394694
haerbin,5895531.6000000015,455788.75999999995,19009.200000000004,122248.0,85048.32,127.12000000000003,6121976
urumqi,4421648.700000001,341841.56999999995,14256.899999999998,91686.0,63786.24000000001,95.34000000000003,4591482
beijing,85274653.5,6592658.8500000015,274954.4999999999,1768230.0,1230163.2,1838.7,88550010
changsha,14949383.699999994,1155750.0699999996,48201.90000000001,309986.0,215658.24,322.34000000000015,15523582
hohhot,4211094.000000001,325563.39999999997,13577.999999999998,87320.0,60748.80000000001,90.80000000000003,4372840
ningbo,14528274.299999995,1123193.7299999997,46844.100000000006,301254.0,209583.36,313.2600000000001,15086298
shanghai,100434591.90000004,7764687.090000002,323835.29999999993,2082582.0,1448858.8800000001,2165.58,104292234
guiyang,5263867.500000001,406954.25,16972.5,109150.0,75936.0,113.50000000000001,5466050
changchun,19371032.4,1497591.64,62458.799999999996,401672.0,279444.48,417.68000000000006,20115064
foshan,5263867.500000001,406954.25,16972.5,109150.0,75936.0,113.50000000000001,5466050
nanning,13686055.499999998,1058081.05,44128.5,283790.0,197433.59999999998,295.1,14211730
hangzhou,32846533.199999996,2539394.5199999996,105908.4,681096.0,473840.6399999999,708.24,34108152
dalian,19581587.099999998,1513869.8099999998,63137.7,406038.0,282481.92,422.2200000000001,20333706
tianjin,33478197.299999993,2588229.0299999993,107945.1,694194.0,482952.95999999996,721.8600000000001,34764078
nanjing,36636517.8,2832401.58,118128.59999999999,759684.0,528514.5599999999,789.96,38043708
suzhou,28424884.499999993,2197552.9499999997,91651.5,589410.0,410054.39999999997,612.9000000000001,29516670
fuzhou,9053852.099999998,699961.3100000002,29192.700000000004,187738.0,130609.92000000001,195.21999999999997,9401606
chongqing,40426502.400000006,3125408.6400000006,130348.79999999997,838272.0,583188.48,871.68,41979264
wenzhou,3789984.6000000006,293007.06,12220.199999999999,78588.0,54673.920000000006,81.72000000000001,3935556
shenyang,19160477.7,1481313.47,61779.899999999994,397306.0,276407.04,413.14000000000004,19896422
chengdu,51375346.80000001,3971873.480000001,165651.59999999995,1065304.0,741135.3600000001,1107.7599999999998,53348648
wuxi,10106625.6,781352.16,32587.2,209568.0,145797.12,217.92,10494816
qingdao,17897149.499999996,1383644.4499999997,57706.5,371110.0,258182.39999999997,385.9000000000001,18584570
jinan,4842758.1000000015,374397.9099999999,15614.699999999997,100418.0,69861.12000000001,104.42000000000004,5028766
nanchang,10948844.399999997,846464.8400000002,35302.8,227032.0,157946.88,236.07999999999996,11369384
hefei,16844376.0,1302253.6,54311.99999999999,349280.0,242995.19999999995,363.2,17491360
shenzhen,45479815.20000001,3516084.7200000007,146642.39999999997,943056.0,656087.04,980.6399999999999,47226672
lanzhou,4000539.3000000007,309285.23,12899.099999999999,82954.0,57711.36000000001,86.26000000000002,4154198
guangzhou,57481433.099999994,4443940.41,185339.69999999998,1191918.0,829221.1199999999,1239.42,59689266
shijiazhuang,7579969.200000001,586014.1200000001,24440.400000000005,157176.0,109347.84000000001,163.43999999999997,7871112
wuhan,48006471.60000001,3711422.7600000007,154789.19999999995,995448.0,692536.3200000001,1035.12,49850376
kunming,15370493.099999998,1188306.41,49559.7,318718.0,221733.11999999997,331.42,15960866
xiamen,11159399.099999996,862743.0100000002,35981.700000000004,231398.0,160984.32,240.61999999999995,11588026
